id,urban_code,case_code,num_code,附帶條件ID,case_codes,content,remark
56,18,27,10,182710,27,1.臨台21 線道路處，其申請建築應自該計畫道路境界線至少退縮15 公尺建築，其與旅（服）二相鄰接部分應自其分區界線各自至少退縮5 公尺建築；以上退縮部分均得計入法定空地，並應妥為植栽綠化，以綠美化環境。 2.本區內申請建築時，留設停車位數除依建築技術規則表列停車空間設置標準之2 倍設置外，應至少劃設申請建築基地面積的10%土地供作平面式停車空間使用，該供停車使用土地得計入法定空地，並應保持至少1/2 以上透水性，並妥為植栽綠化。 3.本基地申請建築執照時，應檢附地質鑽探資料並經地質相關技師簽證認可安全無虞後，始得准予辦理。 4.本基地開發如涉國有林班地及保安林範圍內土地時，應依森林法相關規定辦理解除後，始得申請開發。 5.本基地內之各項開發行為如有符合建築法、環境影響評估法及水土保持法等相關法令規定者，應按其規定辦理。,
57,18,27,11,182711,27,1.申請建築時，留設停車位數需依建築技術規則表列停車空間設置標準設置，該供停車使用土地得計入法定空地。2.本基地申請建築執照時，應檢附地質鑽探資料並經地質相關技師簽證認可安全無虞後，始得准予辦理。3.本基地開發如涉國有林班地及保安林範圍內土地時，應依森林法相關規定辦理解除後，始得申請開發。4.本基地內之各項開發行為如有符合建築法、環境影響評估法及水土保持法等相關法令規定者，應按其規定辦理。,
58,18,27,12,182712,27,1.本基地申請建築執照時，應檢附地質鑽探資料並經地質相關技師簽證認可安全無虞後，始得准予辦理。2.本基地開發如涉國有林班地及保安林範圍內土地時，應依森林法相關規定辦理解除後，始得申 請開發。3.本基地內之各項開發行為如有符合建築法、環境影響評估法及水土保持法等相關法令規定 者，應按其規定辦理。,
59,03,35,03,033503,35,已整治完成的排水系統仍作排水溝使用,
60,23,03,01,230301,03,1.除寺廟主體建築外，其餘部分應予&#63805;美化，供公眾使用，且&#63847;得設置任何礙障物。2.&#63805;美化部分應於下次通盤檢討前完成建設；&#63860;未能於前述時限內完成建設，則本案應依&#64038;市計畫程序回&#63846;為原使用分區。,
61,05,87,05,058705,87,一、應留設40％供綠地、道路使用（含綠七南側8公尺計畫道路一併納入），並於開發完成後無償捐贈並移轉予鎮公所，其中綠地應留設於三個道路交叉口。二、未來申請開發建築時應提都市設計委員會審議。三、本案於下次通盤檢討時，未依附帶條件開發完成，應檢討恢復為原綠地使用或再進行檢討作適宜之變更。,
62,05,82,06,058206,82,一、變更範圍內與周邊農業區相鄰部份，應自都市計畫分區界線至少退縮5 公尺建築，退縮部份得計入法定空地，並應妥予植栽綠化。二、變更範圍應自行留設提供30%之開放空間(詳附件三)作為公益性設 施，提供作為廣場兼停車場使用，其產權仍屬土地所有權人所有，並由土地所有權人自行管理維護，且不得計入宗教專用區之法定空地。,
63,05,78,07,057807,78,1.變&#63745;範圍內之土地於本計畫發佈實施後3&#63886;內未能辦&#63972;整體開發或申請專案讓售，即回歸一般住&#64004;區 使用。2.變&#63745;範圍係以草屯鎮建興段1197地號及1202地號為準‧,
64,08,19,03,081903,19,依南投縣都市計畫委員會審議都市計畫土地變更回饋原則，得依下列方式擇一辦理：一、另行擬定細部計畫者，由變更範圍內土地所有權人依產權比率共同負擔變更範圍面積30%之土地作為公共設施用地，其公共設施土地應面臨道路，並應於建照核發前完成土地無償移轉予南投縣政府。二、改採代金繳納者，依前項需回饋之公共設施用地面積乘以變更後毗鄰地價區段使用性質相同土地前三年之平均公告現值折算代金方式抵充，並應於建照核發前完成代金繳納予南投縣政府。,
65,05,91,08,059108,91,為避免影響園區周邊住宅區環境寧適性，與住宅區相鄰之產業專用區不得引進製造業。其前院退縮深度至少為3公尺，且臨住宅區部分之建築退縮深度至少為3公尺，並應設置圍牆。退縮部分得計入法定空地。建築基地內之法定空地至少50％須綠化植栽，以為安全隔離及提升景觀品質。,
66,09,20,05,092005,20,附一： 1.應另行擬定細部計畫(含配置適當之公共設施用地與擬具公平合理之事業及財務計畫)，並俟細部計畫完成法定程序發布實施後始得發照建築。 2.細部計畫應劃設之公共設施用地優先規劃為停車場用地及兒童遊樂場用地，且其個別劃設面積均不得少於細部計畫面積之10%。 3.都市計畫公告實施前之合法建築，應依平均地權條例及市地重劃實施辦法等相關法令減輕其共同負擔或免共同負擔。 4.於本次通盤檢討發布實施3年內未能依照辦理者，於下次通盤檢討變更為其他適當分區或公共設施用地。,
67,09,20,09,092009,20,附二： 1.應另行擬定細部計畫，並劃設28%以上之公共設施用地及擬具公平合理之事業及財務計畫；其中公園、綠地、兒童遊樂場等劃設之面積不得少於10%。 2.所劃設之公共設施用地，應自行興建，且產權需移轉登記予鄉公所。 3.未來開發建築時，應提送南投縣政府都市設計委員會審議。 4.於本次通盤檢討發布實施3年內未能依照辦理者，於下次通盤檢討變更為其他適當分區或公共設施用地。,
68,09,20,10,092010,20,附三： 1.應辦理整體開發，且由區內土地所有權人無償提供廣場兼停車場用地、道路用地及綠帶等公共設施用地，並於完成開闢公共設施用地及產權轉移登記予水里鄉公所後，始得發照建築。又其最小建築面積不得小於0.1公頃，以避免土地零星開發建築。 2.於本次通盤檢討發布實施3年內未能依照辦理者，於下次通盤檢討變更為其他適當分區或公共設施用地。,
69,09,20,11,092011,20,應提供變更範圍之30%土地做為公共設施用地使用。,
70,16,15,01,161501,15,(1)申請人應依「南投縣都市計畫委員會審議都市計畫土地變更回饋原則」，指定留設30%公共設施劃設公園用地、廣場用地及綠地用地，且經申請人捐贈公共設施土地後，始得發照建築。 (2)未依前項規定提出申請者，於下一次通盤檢討時恢復原分區。 (3)土地所有權人應於本次通盤檢討核定前與南投縣政府簽訂協議書，納入計畫書以利執行，如未能簽訂協議書者，則維持原計畫。,
71,16,15,02,161502,15,(1)若未來有變更意願，申請人得循都市計畫法第26條之法定程序檢具都市計畫變更計畫書、圖，並符合下列事項後，變更為旅遊服務專用區。(1-1)申請人應依「南投縣都市計畫委員會審議都市計畫土地變更回饋原則」辦理回饋並與縣府簽訂協議書。(1-2)申請基地需臨接8公尺以上計畫道路且申請面積應達1500平方公尺以上，未達申請條件者，經南投縣都市計畫委員會審議同意者，不再此限。 (2)未依前項提出申請者，於下一次通盤檢討時恢復原分區。,
72,09,22,12,092212,22,變更範圍內之私有土地所有權人，應依「南投縣都市計畫委員會審議都市計畫土地變更回饋原則」規定，於本案經內政部都市計畫委員會審查通過後，與南投縣政府簽訂相關協議文件（同意繳納回饋金），納入計畫書敘明。,
74,16,17,03,161703,17,1.應依「南投縣都市計畫委員會審議都市計畫土地變更回饋原則」規定辦理回饋。2.依「南投縣都市計畫委員會審議都市計畫土地變更回饋原則」之表二「土地使用分區間變更應提供公共設施回饋標準表」，提供之公共設施土地應面臨計畫道路，惟本案基地形狀特殊，僅有出入口處臨接計畫道路，如提供為公共設施用地，日後該宗基地即無法臨接建築線，故經本縣都市計畫委員會審議通過屬其他特殊情形，得以折算代金方式抵充。,
