名稱,分類,次分類,定位地址,回報地址,X坐標,Y座標,來源
西屯區-民營-新遠停車場,公共建設,停車場地,,,213774.9183,2673169.964,Open data
豐原區-公有-育英路立體停車場,公共建設,停車場地,,,221017.1258,2681707.804,Open data
后里區-公所-后里車站東站停車場,公共建設,停車場地,,,223103.3188,2689343.386,Open data
南屯區-民營-宜盈資產管理有限公司龍五停車場,公共建設,停車場地,,,212488.544,2670882.954,Open data
西屯區-民營-福華第二停車場,公共建設,停車場地,,,211727.32,2675034.853,Open data
豐原區-臺鐵-豐原車站法定停車場,公共建設,停車場地,,,221964.8587,2683371.608,Open data
北區-中科大-中技大樓停車場,公共建設,停車場地,,,217846.7711,2671893.183,Open data
北區-中科大-中商大樓停車場,公共建設,停車場地,,,217856.2379,2671585.273,Open data
東區-民營-站前秀泰S1地下停車場,公共建設,停車場地,,,218514.6544,2670613.624,Open data
北區-民營-Times台中育強街停車場,公共建設,停車場地,,,218803.7296,2672668.525,Open data
北屯區-民營-中興游泳池附設停車場,公共建設,停車場地,,,217100.773,2674493.113,Open data
西屯區-民營-城市車旅-玉門站停車場,公共建設,停車場地,,,210509.8141,2675651.752,Open data
北屯區-民營-大車河東山停車場,公共建設,停車場地,,,222160.8571,2674584.193,Open data
大里區-民營-大買家國光店停車場,公共建設,停車場地,,,217430.9715,2667822.928,Open data
東區-民營-城市車旅-新光市場站停車場,公共建設,停車場地,,,220507.1401,2670851.901,Open data
北屯區-公所-北屯區公所停車場,公共建設,停車場地,,,218138.9313,2675291.481,Open data
烏日區-臺鐵-臺灣鐵路新烏日車站地下停車場,公共建設,停車場地,,,210821.7199,2667160.656,Open data
大雅區-公所-三和公園附屬停車場,公共建設,停車場地,,,215992.9364,2678592.431,Open data
北屯區-民營-城市車旅-北屯站停車場,公共建設,停車場地,,,219396.6033,2674290.848,Open data
南屯區-民營-城市車旅-益文一站停車場,公共建設,停車場地,,,212914.7803,2670647.044,Open data
