名稱,分類,次分類,類型,定位地址,回報地址,X坐標,Y座標,定位來源
大墩國民小學,公共建設,學校,國小,臺中市南屯區向上路二段201號,臺中市南屯區三厝里18鄰向上路二段201號,213432.614,2671313.736,TGOS
鎮平國民小學,公共建設,學校,國小,臺中市南屯區黎明路一段425號,臺中市南屯區鎮平里1鄰黎明路一段425號,212284.573,2668537.021,TGOS
春安國民小學,公共建設,學校,國小,臺中市南屯區春安路109號,臺中市南屯區春安里6鄰春安路109號,210201.551,2670002.595,TGOS
黎明國民小學,公共建設,學校,國小,臺中市南屯區黎明路二段555號,臺中市南屯區三義里1鄰黎明路二段555號,212679.882,2672488.909,TGOS
南陽國民小學,公共建設,學校,國小,臺中市豐原區南陽路440號,臺中市豐原區中陽里5鄰南陽路440號,221889.404,2682530.358,TGOS
富春國民小學,公共建設,學校,國小,臺中市豐原區中山路455號,臺中市豐原區豐西里10鄰中山路455號,220935.929,2682977.83,TGOS
豐村國民小學,公共建設,學校,國小,臺中市豐原區水源路341號,臺中市豐原區水源路341號,223226.4073,2683364.772,Google
翁子國民小學,公共建設,學校,國小,臺中市豐原區豐勢路二段290巷3號,臺中市豐原區翁子里5鄰豐勢路二段290巷2之1號,223835.125,2684220.717,TGOS
豐田國民小學,公共建設,學校,國小,臺中市豐原區豐田里13鄰田心路二段290號,臺中市豐原區豐田里13鄰田心路二段290號,221763.76,2681288.819,TGOS
合作國民小學,公共建設,學校,國小,臺中市豐原區西勢路410號,臺中市豐原區西勢路410號,219867.7475,2681644.04,Google
葫蘆墩國民小學,公共建設,學校,國小,臺中市豐原區葫蘆墩一街250號,臺中市豐原區西湳里5鄰葫蘆墩一街250號,220998.826,2683967.257,TGOS
福陽國民小學,公共建設,學校,國小,臺中市豐原區南陽路綠山巷83號,臺中市豐原區北陽里20鄰南陽路綠山巷83號,223195.709,2681880.21,TGOS
豐原國民小學,公共建設,學校,國小,臺中市豐原區新生北路155號,臺中市豐原區新生北路155號,221678.9282,2683228.489,Google
瑞穗國民小學,公共建設,學校,國小,臺中市豐原區西安街72號,臺中市豐原區西安街72號,220756.8122,2682641.029,Google
后里國民小學,公共建設,學校,國小,臺中市后里區義里里甲后路一段168號,臺中市后里區義里里12鄰甲后路一段168號,222538.261,2689380.193,TGOS
內埔國民小學,公共建設,學校,國小,臺中市后里區墩東里文化路30號,臺中市后里區墩東里14鄰文化路30號,221023.687,2689112.838,TGOS
月眉國民小學,公共建設,學校,國小,臺中市后里區眉山里甲后路二段588號,臺中市后里區眉山里8鄰甲后路二段588號,218627.815,2689979.091,TGOS
七星國民小學,公共建設,學校,國小,臺中市后里區墩南里南村路389號,臺中市后里區墩南里1鄰南村路389號,220712.709,2688441.253,TGOS
育英國民小學,公共建設,學校,國小,臺中市后里區太平里四月路23號,臺中市后里區太平里四月路23號,217493.6446,2689511.39,Google
泰安國民小學,公共建設,學校,國小,臺中市后里區泰安里安眉路五號,臺中市后里區泰安里2鄰安眉路5號,224675.227,2691067.115,TGOS
社口國民小學,公共建設,學校,國小,臺中巿神岡區社南里社南街136號,臺中市神岡區社南里20鄰社南街136號,218104.07,2682227.492,TGOS
岸裡國民小學,公共建設,學校,國小,臺中市神岡區岸裡里中山路52號,臺中市神岡區岸裡里3鄰中山路52號,219287.14,2682717.75,TGOS
圳堵國民小學,公共建設,學校,國小,臺中市神岡區三民路639號,臺中市神岡區圳堵里5鄰三民路639號,215407.01,2685264.404,TGOS
神岡國民小學,公共建設,學校,國小,臺中市神岡區神圳路1號,臺中市神岡區神岡里2鄰神圳路1號,215556.579,2683680.27,TGOS
豐洲國民小學,公共建設,學校,國小,臺中市神岡區豐洲路482號,臺中市神岡區豐洲里15鄰豐洲路482號,219943.573,2684103.043,TGOS
大雅國民小學,公共建設,學校,國小,臺中市大雅區二和里學府路230號,臺中市大雅區二和里10鄰學府路230號,214454.168,2679663.061,TGOS
三和國民小學,公共建設,學校,國小,臺中市大雅區三和里春亭二街一號,臺中市大雅區三和里1鄰春亭二街1號,216303.678,2679392.498,TGOS
大明國民小學,公共建設,學校,國小,臺中市大雅區中清路四段158號,臺中市大雅區中清路四段158號,213755.7206,2680373.478,Google
上楓國民小學,公共建設,學校,國小,臺中市大雅區上楓里楓林街232號,臺中市大雅區上楓里19鄰楓林街232號,216162.891,2681243.944,TGOS
汝鎏國民小學,公共建設,學校,國小,臺中市大雅區秀山里平和路238號,臺中市大雅區秀山里1鄰平和路238號,212058.625,2680670.649,TGOS
陽明國民小學,公共建設,學校,國小,臺中市大雅區秀山里秀山路365號,臺中市大雅區秀山里16鄰秀山路365號,212618.247,2679584.538,TGOS
文雅國民小學,公共建設,學校,國小,臺中市大雅區中山北路235號,臺中市大雅區文雅里12鄰中山北路235號,214046.399,2679467.024,TGOS
六寶國民小學,公共建設,學校,國小,臺中市大雅區光復路15之2號,臺中市大雅區六寶里3鄰光復路15之2號,212981.594,2681438.557,TGOS
頭家國民小學,公共建設,學校,國小,臺中市潭子區得福街185號,臺中市潭子區得福街185號,219148.9614,2676865.414,Google
潭子國民小學,公共建設,學校,國小,臺中市潭子區中山路二段435號,臺中市潭子區潭秀里8鄰中山路二段435號,219936.477,2678812.652,TGOS
僑忠國民小學,公共建設,學校,國小,臺中市潭子區中山路二段31號,臺中市潭子區中山路二段31號,219924.5894,2677477.724,Google
東寶國民小學,公共建設,學校,國小,臺中市潭子區雅潭路三段２號,臺中市潭子區東寶里8鄰雅潭路三段2號,217931.393,2679069.798,TGOS
新興國民小學,公共建設,學校,國小,臺中市潭子區潭興路一段25號,臺中市潭子區聚興里8鄰潭興路一段25號,222116.845,2677630.463,TGOS
潭陽國民小學,公共建設,學校,國小,臺中市潭子區潭陽路19號,臺中市潭子區潭陽路19號,220552.0122,2678659.977,Google
外埔國民小學,公共建設,學校,國小,臺中市外埔區外埔路878號,臺中市外埔區大同里3鄰外埔路878號,214837.26,2691898.299,TGOS
安定國民小學,公共建設,學校,國小,臺中市外埔區土城里土城西路55號,臺中市外埔區土城里9鄰土城西路55號,220056.127,2693389.123,TGOS
鐵山國民小學,公共建設,學校,國小,臺中市外埔區鐵山里長生路576號,臺中市外埔區鐵山里11鄰長生路576號,215139.046,2693722.705,TGOS
馬鳴國民小學,公共建設,學校,國小,臺中市外埔區中山里東西巷13號,臺中市外埔區中山里2鄰東西巷13號,215940.25,2692482.546,TGOS
水美國民小學,公共建設,學校,國小,臺中市外埔區水美里二崁路390巷63號,臺中市外埔區水美里15鄰二崁路390巷63號,213104.87,2691202.29,TGOS
吳厝國民小學,公共建設,學校,國小,臺中市清水區吳厝里吳厝路35號,臺中市清水區吳厝里5鄰吳厝路35號,209670.608,2684673.492,TGOS
清水國民小學,公共建設,學校,國小,臺中市清水區光華路125號,臺中市清水區南寧里22鄰光華路125號,206662.358,2684636.001,TGOS
西寧國民小學,公共建設,學校,國小,臺中市清水區西寧里五權東路50號,臺中市清水區西寧里12鄰五權東路50號,206895.515,2685657.37,TGOS
建國國民小學,公共建設,學校,國小,臺中市清水區建國路10號,臺中市清水區西社里18鄰建國路10號,205627.195,2685132.196,TGOS
大秀國民小學,公共建設,學校,國小,臺中市清水區五權路336號,臺中市清水區武鹿里8鄰五權路336號,205053.101,2686040.824,TGOS
三田國民小學,公共建設,學校,國小,臺中市清水區田寮里三田路4號,臺中市清水區三田路4號,207359.2148,2687231.11,Google
甲南國民小學,公共建設,學校,國小,臺中市清水區臨海路26號,臺中市清水區臨海路26號,208962.763,2688832.733,Google
高美國民小學,公共建設,學校,國小,臺中市清水區高美里護岸路37號,臺中市清水區高美里5鄰護岸路37號,205568.606,2689684.183,TGOS
槺榔國民小學,公共建設,學校,國小,臺中市清水區中央路23-12號,臺中市清水區槺榔里8鄰中央路23之12號,203816.323,2684326.052,TGOS
大楊國民小學,公共建設,學校,國小,臺中市清水區楊厝里鰲海路325號,臺中市清水區楊厝里3鄰鰲海路325號,210404.541,2687471.676,TGOS
東山國民小學,公共建設,學校,國小,臺中市清水區東山里神清路6-1號,臺中市清水區東山里10鄰神清路6之1號,212879.752,2685673.257,TGOS
