名稱,分類,次分類,定位地址,回報地址,X坐標,Y座標,來源
台北富邦商業銀行豐原分行,工商活動,金融機構,臺中市豐原區向陽路139號,臺中市豐原區南村里19鄰向陽路139號,222095.331,2683004.038,TGOS
台北富邦商業銀行北屯分行,工商活動,金融機構,臺中市北屯區崇德路三段138號,臺中市北屯區仁和里7鄰崇德路三段138號,218145.774,2675496.160,TGOS
台北富邦商業銀行西屯分行,工商活動,金融機構,臺中市西屯區河南路二段363號,臺中市西屯區上石里12鄰河南路二段363號,213920.739,2674082.864,TGOS
國泰世華商業銀行西台中分行,工商活動,金融機構,臺中市民權路185號,臺中市西區安龍里16鄰民權路185號,216553.010,2671178.583,TGOS
國泰世華商業銀行公益分行,工商活動,金融機構,臺中市南屯區公益路二段53號,臺中市南屯區大業里20鄰公益路二段53號,214532.261,2671736.021,TGOS
國泰世華商業銀行五權分行,工商活動,金融機構,臺中市西區英才路530號,臺中市西區民龍里3鄰英才路530號,215965.184,2671681.223,TGOS
國泰世華商業銀行豐原分行,工商活動,金融機構,臺中市豐原區三民路199號,臺中市豐原區下街里5鄰三民路199號,221296.226,2683086.453,TGOS
國泰世華商業銀行文心分行,工商活動,金融機構,台中巿南屯區五權西路二段666號,臺中市南屯區南屯里30鄰五權西路二段666號,213367.166,2670813.129,TGOS
國泰世華商業銀行大里分行,工商活動,金融機構,臺中市大里區國光路二段259號,臺中市大里區新里里11鄰國光路二段259號,217523.720,2666796.500,TGOS
國泰世華商業銀行太平分行,工商活動,金融機構,臺中市太平區中興東路142號,臺中市太平區成功里15鄰中興東路142號,221692.489,2669536.310,TGOS
國泰世華商業銀行健行分行,工商活動,金融機構,臺中市健行路590號,臺中市北區賴村里14鄰健行路590號,217192.029,2672707.717,TGOS
國泰世華商業銀行篤行分行,工商活動,金融機構,臺中市五權路190號,臺中市五權路190號,217099.4422,2671673.026,Google
國泰世華商業銀行台中分行,工商活動,金融機構,臺中市自由路一段148號,臺中市西區民生里7鄰自由路一段148號,217444.448,2670267.217,TGOS
國泰世華商業銀行東台中分行,工商活動,金融機構,臺中市建成路735號,臺中市東區東興里22鄰建成路735號,218281.083,2669509.139,TGOS
國泰世華商業銀行南屯分行,工商活動,金融機構,臺中市五權路1之128號,臺中市西區公舘里33鄰五權路1之128號,215985.344,2670089.901,TGOS
國泰世華商業銀行崇德分行,工商活動,金融機構,臺中市崇德路二段128號,臺中市北屯區平安里13鄰崇德路二段128號,218060.179,2673997.159,TGOS
國泰世華商業銀行市政分行,工商活動,金融機構,臺中市西屯區市政北三路31號,臺中市西屯區惠來里3鄰市政北三路31號,214022.953,2672702.736,TGOS
