名稱,分類,次分類,污染類別,定位地址,回報地址,X坐標,Y座標,來源
淳得實業有限公司,特殊設施,環境污染,一般廢棄物,臺中市太平區永成路99巷16號,臺中市太平區太平里16鄰永成路99巷16號,220545.67,2667981.24,TGOS
米點米食便當專賣店,特殊設施,環境污染,一般廢棄物,臺中市南屯區三厝里黎明路二段172號,臺中市南屯區三厝里15鄰黎明路二段172號,213073.69,2671251.373,TGOS
華鑑營造股份有限公司,特殊設施,環境污染,一般廢棄物,臺中市烏日區站區一路語高鐵五路交叉口出入口,臺中市烏日區三和里3鄰站區一路2號,211054.01,2667357.941,TGOS
集安保全股份有限公司,特殊設施,環境污染,一般廢棄物,臺中市西屯區中清路二段1250巷53號,臺中市西屯區港尾里20鄰中清路二段1250巷53號,215465.359,2676666.827,TGOS
貴田企業行,特殊設施,環境污染,一般廢棄物,臺中市北屯區太祥段223地號,臺中市北屯區太祥段223地號,222496.864,2673535.504,NLSC
貴田企業行,特殊設施,環境污染,一般廢棄物,臺中市北屯區太祥段223地號,臺中市北屯區太祥段223地號,222496.864,2673535.504,NLSC
福清營造股份有限公司,特殊設施,環境污染,一般廢棄物,臺中市豐原區復興段411之1地號（東陽路34號對面）,臺中市豐原區復興段411之1地號,223203.958,2681223.17,NLSC
宏晟有限公司,特殊設施,環境污染,一般廢棄物,臺中市神岡區溪頭路101號,臺中市神岡區新庄里3鄰溪頭路101號,214833.87,2686455.799,TGOS
久鳴工業社,特殊設施,環境污染,一般廢棄物,臺中市大雅區仁和路,找不到指定的門牌地址。,,,Google
力雲營造股份有限公司,特殊設施,環境污染,一般廢棄物,臺中市北區博館路65巷8號,臺中市北區淡溝里26鄰博館路65巷8號,216255.081,2672280.91,TGOS
齊裕營造股份有限公司,特殊設施,環境污染,一般廢棄物,臺中市烏日區高鐵一路上與高鐵路二段交叉口,臺中市烏日區高鐵一路上與高鐵路二段交叉口,210289.335,2667566.973,Google
根基營造股份有限公司,特殊設施,環境污染,一般廢棄物,臺中市北屯區松昌段612之2地號,臺中市北屯區松昌段612之2地號,218128.509,2674766.764,NLSC
悟盒子商行,特殊設施,環境污染,一般廢棄物,臺中市北區學士路278號,臺中市北區建興里14鄰學士路278號,217596.557,2672982.568,TGOS
雞善之家企業社,特殊設施,環境污染,一般廢棄物,臺中市大雅區中山一路28之8號,臺中市大雅區橫山里19鄰中山一路29之2號,213498.445,2677702.072,TGOS
瑞助營造股份有限公司之臺中市西屯區國安段1期社會住宅統包工程(新建)(含雜項),特殊設施,環境污染,一般廢棄物,臺中市西屯區國安一路128號旁營建工地,臺中市西屯區永安里25鄰國安一路128號,210673.03,2676306.066,TGOS
,特殊設施,環境污染,一般廢棄物,臺中市豐原區豐中段415之419地號,找不到指定的門牌地址。,,,NLSC
才駿工程行,特殊設施,環境污染,一般廢棄物,臺中市西屯區鑫港尾段364地號土地（西屯區中平路1151號旁）,臺中市西屯區鑫港尾段364地號,215333.567,2676245.53,NLSC
弘旺國際企業社,特殊設施,環境污染,一般廢棄物,臺中市北區中清路一段465號,臺中市北區明新里10鄰中清路一段465號,216808.731,2673451.876,TGOS
安成營造有限公司,特殊設施,環境污染,一般廢棄物,臺中市西區西區忠義街51巷與博館路交叉口工地,臺中市西區西區忠義街51巷與博館路交叉口,215407.1558,2672778.416,Google
麗耀營造股份有限公司,特殊設施,環境污染,一般廢棄物,臺中市北區東光路與興進路口,臺中市北區東光路與興進路交叉口,219400.2836,2672253.159,Google
華盛營建工程股份有限公司,特殊設施,環境污染,一般廢棄物,臺中市西屯區惠中路與智惠街交叉口工地,臺中市西屯區惠中路與智惠街交叉口工地,214205.3659,2673570.775,Google
偉宬有限公司,特殊設施,環境污染,一般廢棄物,臺中市龍井區中南一路一段附近道路,找不到指定的門牌地址。,,,Google
香泉畜牧場,特殊設施,環境污染,一般廢棄物,臺中市外埔區水美里水美路43之3號,臺中市外埔區水美里4鄰水美路43之3號,213012.114,2691469.256,TGOS
濟業營造工程有限公司,特殊設施,環境污染,一般廢棄物,臺中市烏日區中山路三段登寺巷口,找不到指定的門牌地址。,,,Google
登禾營造股份有限公司之黃仁淵新建工程,特殊設施,環境污染,一般廢棄物,臺中市大里區愛心一街24巷與愛心一街交叉口,臺中市大里區愛心一街24巷與愛心一街口工地,217559.997,2666211.716,Google
財團法人臺中市私立立人高級中學,特殊設施,環境污染,一般廢棄物,臺中市大里區中興路二段380號,臺中市大里區中新里1鄰中興路二段380號,218591.916,2666748.493,TGOS
偵豪營造股份有限公司,特殊設施,環境污染,一般廢棄物,臺中市豐原區豐中段411地號,臺中市豐原區豐中段411地號,221496.362,2683529.036,NLSC
嘉鋒資源回收社,特殊設施,環境污染,一般廢棄物,臺中市豐原區豐勢路二段337之1號,臺中市豐原區翁子里21鄰豐勢路二段337號,223915.07,2684324.98,TGOS
松群護理之家,特殊設施,環境污染,一般廢棄物,臺中市霧峰區復興八街2號,臺中市霧峰區坑口里13鄰復興八街2號,222520.548,2659319.012,TGOS
友勝工業股份有限公司,特殊設施,環境污染,一般廢棄物,臺中市烏日區臺中市烏日區五光路501號,臺中市烏日區臺中市烏日區五光路501號,213271.8583,2665519.821,Google
先炊股份有限公司,特殊設施,環境污染,一般廢棄物,臺中市北屯區北平路三段173號,臺中市北屯區平德里19鄰北平路三段173號,217947.204,2674004.453,TGOS
上裕飼料有限公司,特殊設施,環境污染,一般廢棄物,臺中市大肚區沙田路一段與沙田路918巷路口,臺中市大肚區沙田路一段與沙田路918巷路交叉口,204635.7197,2669982.49,Google
瓏昇實業股份有限公司,特殊設施,環境污染,一般廢棄物,臺中市霧峰區中山路與霧峰交流道路口處,找不到指定的門牌地址。,,,Google
富利餐飲股份有限公司,特殊設施,環境污染,一般廢棄物,臺中市沙鹿區中山路417號前,臺中市沙鹿區鹿寮里29鄰中山路417號,205408.507,2681895.859,TGOS
豐興營造工程有限公司,特殊設施,環境污染,一般廢棄物,臺中市西屯區福上巷190弄22號對面,臺中市西屯區福上巷190弄22號對面,214548.2319,2674486.651,Google
橋亨有限公司,特殊設施,環境污染,一般廢棄物,臺中市大雅區中清路三段918號附近,臺中市大雅區四德里2鄰中清路三段918號,214365.888,2679147.154,TGOS
鉦盛營造有限公司,特殊設施,環境污染,一般廢棄物,臺中市龍井區龍目井小段0090之0004地號,臺中市龍井區龍目井小段0090之0004地號,204254.49,2676678.039,NLSC
齊裕營造股份有限公司,特殊設施,環境污染,一般廢棄物,臺中市西屯區市政路與河南路交叉口,臺中市西屯區市政路與河南路交叉口,213041.2028,2672838.193,Google
順昇營造有限公司,特殊設施,環境污染,一般廢棄物,臺中市北屯區北平路四段與天津路四段口,臺中市北屯區北平路四段與天津路四段交叉口,218811.6015,2673925.265,Google
得山江工程有限公司,特殊設施,環境污染,一般廢棄物,臺中市大里區大里區草湖路47號旁道路,臺中市大里區大里區草湖路47號,218689.9706,2663397.947,Google
益豐貼花廠股份有限公司,特殊設施,環境污染,一般廢棄物,臺中市烏日區中山路一段229巷25弄21號,臺中市烏日區前竹里6鄰中山路一段229巷25弄21號,213946.212,2667110.396,TGOS
華盛營建工程股份有限公司,特殊設施,環境污染,一般廢棄物,臺中市西屯區青海路二段與惠中路交叉口,臺中市西屯區青海路二段與惠中路交叉口,214259.7851,2673658.365,Google
鐵益企業股份有限公司,特殊設施,環境污染,一般廢棄物,臺中市大雅區橫山里永和路87號,臺中市大雅區橫山里10鄰永和路87號,212469.679,2678611.089,TGOS
豐潤營造股份有限公司,特殊設施,環境污染,一般廢棄物,臺中市北屯區平田段960地號,找不到指定的門牌地址。,,,NLSC
合勤健康事業股份有限公司,特殊設施,環境污染,一般廢棄物,臺中市烏日區 民權街115巷27號,臺中市烏日區烏日里45鄰民權街115巷27號,212071.516,2667520.49,TGOS
百匯營造股份有限公司,特殊設施,環境污染,一般廢棄物,臺中市清水區高西段1163地號,臺中市清水區高西段1163地號,204360.286,2688981.825,NLSC
郁品香小吃店,特殊設施,環境污染,一般廢棄物,臺中市大雅區樹德街323巷1之2號,臺中市大雅區上楓里16鄰樹德街323巷1號,215923.882,2681487.376,TGOS
妍星商行,特殊設施,環境污染,一般廢棄物,臺中市北屯區環中路一段634號,臺中市北屯區環中路一段634號,218658.015,2677375.529,Google
麵屋六花拉麵店,特殊設施,環境污染,一般廢棄物,臺中市北區學士路236巷2號,臺中市北區建興里28鄰學士路236巷2號,217612.597,2672856.188,TGOS
悅騰建設股份有限公司,特殊設施,環境污染,一般廢棄物,臺中市北屯區南興路與南興一路口,臺中市北屯區南興路與南興一路交叉口,219889.6715,2674191.553,Google
海越工程行,特殊設施,環境污染,一般廢棄物,臺中市南屯區高鐵段55地號,臺中市烏日區高鐵段55地號,211248.498,2668364.02,NLSC
有辰營造有限公司,特殊設施,環境污染,一般廢棄物,臺中市潭子區祥和段0006之0008地號,臺中市潭子區祥和段0006之0008地號,220961.575,2680517.223,NLSC
榮家建設有限公司,特殊設施,環境污染,一般廢棄物,臺中市北屯區景美段260地號,臺中市北屯區景美段260地號,221131.052,2674708.738,NLSC
延整開發營造有限公司,特殊設施,環境污染,一般廢棄物,臺中市潭子區中山路一段,找不到指定的門牌地址。,,,Google
順昇營造有限公司,特殊設施,環境污染,一般廢棄物,臺中市北屯區興安路一段與北平路四段口,臺中市北屯區興安路一段與北平路四段交叉口,218918.8432,2673912.328,Google
精英建設股份有限公司,特殊設施,環境污染,一般廢棄物,臺中市北屯區竹興段167地號,臺中市北屯區竹興段167地號,220094.646,2674392.25,NLSC
