x,y,名稱,位置資訊
120.212025,23.089438,佑峰實業股份有限公司一廠,臺南市安定區新吉里新吉19之12號
120.192226,23.159209,銘冠國際企業有限公司,臺南市佳里區民安里同安寮118之3號
120.398566,23.331882,維笙科技有限公司台南廠,臺南市東山區東山里278之18號
120.278439,23.133354,佳昌醬園工廠,臺南市善化區文正里陽明路57巷73號
120.28578,23.139887,金岳機械工程有限公司善化廠,臺南市善化區什乃里什乃180之2號
120.265798,22.978504,昇陽自行車國際股份有限公司仁德廠,臺南市仁德區一甲里義林路418號
120.226892,23.057223,奕凱企業股份有限公司安南廠,臺南市安南區東和里長和路一段823巷321號
120.303955,23.275597,定陽實業有限公司,臺南市柳營區八翁里中山西路三段333號
120.187246,22.979887,亞洲電熱企業社,臺南市南區金華里新孝路126巷19、21號1樓
120.191447,22.937163,新楷金屬股份有限公司台南廠,臺南市南區省躬里萬年路432號
120.29543,23.031403,旺昌實業股份有限公司新化廠,臺南市新化區豐榮里大智路278巷12號
120.221649,23.078193,永勤企業社安定廠,臺南市安定區六嘉里六塊寮81之4號
120.253924,23.007677,元氣工坊生機事業有限公司崑山廠,臺南市永康區崑山里大灣路942巷371弄78號
120.32326,23.263888,長輝工業有限公司長輝二廠,臺南市柳營區東昇里柳營700之50號
120.332514,22.966567,同富有限公司一廠,臺南市關廟區北勢里仁愛路328號
120.269,23.286431,合念厚股份有限公司新營廠,臺南市新營區太北里太子宮140之80號
120.194505,22.999227,春生雞肉,臺南市中西區藥王里民族路三段201號1樓、2樓
120.203794,23.065761,健成實業社一廠,臺南市安南區布袋里長和路4段319號
120.272412,22.996303,佳禾五金實業社永康廠,臺南市永康區東灣里民族路1巷70弄32號
120.193541,23.046316,浩展企業社安南廠,臺南市安南區原佃里怡安路二段516巷57號
120.151705,23.108868,詠欣機械股份有限公司,臺南市七股區義合里義合9之11號
120.276005,22.992238,奕誠精密有限公司歸仁廠,臺南市歸仁區大廟里和順路2段276號
120.280772,23.020358,盟興科技有限公司永康廠,臺南市永康區西勢里西勢路13巷2號
120.280759,22.999307,丞泰鋁業有限公司二廠,臺南市歸仁區大廟里大廟六街133號
120.311832,23.08884,尚聚企業股份有限公司二廠,臺南市新市區大社里大社595號
120.326786,22.946148,合正企業有限公司五甲廠,臺南市關廟區五甲里五甲路211巷58號
120.195781,23.163596,盟昌企業社佳里廠,臺南市佳里區民安里同安寮81之5號
120.266379,22.901872,剛毅機械有限公司仁德廠,臺南市仁德區中洲里中洲路501巷957號、501巷951號
120.182282,23.107959,顯昌眼鏡實業有限公司一廠,臺南市西港區新復里新港31之11號
120.332284,23.085514,騰達五金工廠股份有限公司新市廠,臺南市新市區潭頂里潭頂112之1號
120.176491,23.057583,瑞發模具有限公司分廠,臺南市安南區淵東里海佃路四段177號
120.197218,23.054226,瑞晟眼鏡實業有限公司工廠,臺南市安南區原佃里本原街一段250巷21號
120.13477,23.04812,金昶勝有限公司,臺南市安南區媽祖宮里顯宮一街37-358號
120.204286,23.062176,佳登企業有限公司,臺南市安南區布袋里工明路420之1號
120.185503,22.9508,信宏塑膠模具實業社,臺南市南區建南里明興路321巷11號
120.182479,23.053419,元豪塑膠股份有限公司台南廠,臺南市安南區溪心里智安四街98巷60號
120.301095,23.281523,原鐿鐵材行二廠,臺南市柳營區八翁里仁愛路407號
120.290717,23.013363,明級企業有限公司西勢二廠,臺南市永康區西勢里廣興街170巷471號
120.304809,22.994216,天耀塑膠行,臺南市關廟區埤頭里保東一街81號
120.206632,23.037796,允升實業社,臺南市安南區頂安里安中路1段220巷55弄2號1樓
120.279651,22.992196,傳品工業社歸仁廠,臺南市歸仁區大廟里和順路2段153號
120.288143,22.9987,常宏印刷企業社,臺南市歸仁區西埔里西埔一街65巷36號A棟
120.358076,22.966868,連景企業有限公司,臺南市龍崎區崎頂里新市子3號
120.332659,22.940359,日昇風管企業社關廟廠,臺南市關廟區深坑里南雄路一段495巷26號
