名稱,分類,定位地址,回報地址,X坐標,Y座標,來源
市立殯儀館,站牌,,,218055.3243,2672369.311,Opendata
新民高中(健行路),站牌,,,218230.3121,2672664.369,Opendata
新民高中(健行路),站牌,,,218230.3121,2672664.369,Opendata
寶覺寺,站牌,,,218486.9513,2672560.502,Opendata
新民高中(三民路),站牌,,,218344.2049,2672422.196,Opendata
一心市場,站牌,,,218063.6973,2672102.014,Opendata
中友百貨,站牌,,,217966.7893,2671862.087,Opendata
國立臺中科技大學,站牌,,,217890.1903,2671621.006,Opendata
中興堂,站牌,,,217950.0999,2671251.591,Opendata
臺中公園(雙十路),站牌,,,218074.3343,2671031.582,Opendata
干城站,站牌,,,218063.2336,2670763.036,Opendata
臺中火車站,站牌,,,217934.3391,2670345.352,Opendata
第一廣場,站牌,,,217841.2746,2670449.778,Opendata
彰化銀行(臺灣大道),站牌,,,217735.5267,2670562.762,Opendata
第二市場(臺灣大道),站牌,,,217487.0318,2670784.09,Opendata
仁愛醫院,站牌,,,217297.5122,2670970.992,Opendata
臺灣大道中華路口,站牌,,,217139.312,2671088.531,Opendata
臺灣大道原子街口,站牌,,,216933.5166,2671308.848,Opendata
茄苳腳,站牌,,,216562.3505,2671675.748,Opendata
中正國小,站牌,,,216280.9512,2671933.244,Opendata
科博館,站牌,,,215773.2891,2672248.768,Opendata
忠明國小,站牌,,,215368.041,2672506.027,Opendata
頂何厝,站牌,,,215076.4786,2672706.167,Opendata
市政府,站牌,,,214310.7658,2673142.804,Opendata
新光/遠百,站牌,,,213840.1005,2673428.292,Opendata
秋紅谷,站牌,,,213389.3529,2673746.749,Opendata
福安,站牌,,,211734.1258,2674921.092,Opendata
中港新城,站牌,,,211409.6799,2675097.401,Opendata
澄清醫院,站牌,,,211062.6182,2675285.74,Opendata
玉門路,站牌,,,210409.7312,2675502.515,Opendata
榮總/東海大學,站牌,,,209658.5675,2675343.15,Opendata
東海別墅,站牌,,,208694.6967,2675345.255,Opendata
坪頂,站牌,,,207942.9565,2675684.144,Opendata
正英路,站牌,,,207488.9914,2678291.295,Opendata
弘光科技大學,站牌,,,207396.6116,2679122.222,Opendata
晉江寮,站牌,,,207310.7643,2679588.751,Opendata
靜宜大學,站牌,,,207041.0169,2680065.362,Opendata
臺中國際機場,站牌,,,209281.0958,2683153.755,Opendata
西勢寮,站牌,,,209002.4489,2682799.262,Opendata
犁份,站牌,,,206452.6793,2681895.478,Opendata
竹林里,站牌,,,206343.5615,2681246.368,Opendata
紅竹巷,站牌,,,206531.0679,2680921.814,Opendata
臺灣大道北勢路口,站牌,,,206743.5622,2680572.257,Opendata
靜宜大學,站牌,,,207012.3425,2680091.406,Opendata
晉江寮,站牌,,,207251.1573,2679660.92,Opendata
弘光科技大學,站牌,,,207379.3256,2679149.851,Opendata
正英路,站牌,,,207469.5037,2678330.339,Opendata
坪頂,站牌,,,207872.3938,2675703.628,Opendata
東海別墅,站牌,,,208700.507,2675316.885,Opendata
榮總/東海大學,站牌,,,209725.1941,2675335.098,Opendata
玉門路,站牌,,,210409.7312,2675502.515,Opendata
澄清醫院,站牌,,,211107.9008,2675237.328,Opendata
中港新城,站牌,,,211347.6492,2675144.792,Opendata
福安,站牌,,,211734.1258,2674921.092,Opendata
秋紅谷,站牌,,,213389.3529,2673746.749,Opendata
新光/遠百,站牌,,,213760.9601,2673434.585,Opendata
市政府,站牌,,,214353.9682,2673108.695,Opendata
頂何厝,站牌,,,215030.1051,2672691.587,Opendata
忠明國小,站牌,,,215372.3577,2672484.31,Opendata
科博館,站牌,,,215773.2891,2672248.768,Opendata
中正國小,站牌,,,216181.1659,2671979.664,Opendata
茄苳腳,站牌,,,216623.9384,2671590.436,Opendata
臺灣大道原子街口,站牌,,,216933.5166,2671308.848,Opendata
臺灣大道中華路口,站牌,,,217139.312,2671088.531,Opendata
仁愛醫院,站牌,,,217297.5122,2670970.992,Opendata
第二市場(臺灣大道),站牌,,,217487.0318,2670784.09,Opendata
彰化銀行(臺灣大道),站牌,,,217735.5267,2670562.762,Opendata
第一廣場,站牌,,,217841.2746,2670449.778,Opendata
干城站,站牌,,,218063.3683,2670659.996,Opendata
臺中公園(雙十路),站牌,,,218094.7149,2671024.248,Opendata
臺中公園(雙十路),站牌,,,218094.7149,2671024.248,Opendata
干城站,站牌,,,218063.3683,2670659.996,Opendata
臺中火車站,站牌,,,217934.3391,2670345.352,Opendata
第一廣場,站牌,,,217841.2746,2670449.778,Opendata
彰化銀行(臺灣大道),站牌,,,217735.5267,2670562.762,Opendata
第二市場(臺灣大道),站牌,,,217487.0318,2670784.09,Opendata
仁愛醫院,站牌,,,217297.5122,2670970.992,Opendata
臺灣大道中華路口,站牌,,,217139.312,2671088.531,Opendata
臺灣大道原子街口,站牌,,,216933.5166,2671308.848,Opendata
茄苳腳,站牌,,,216562.3505,2671675.748,Opendata
中正國小,站牌,,,216280.9512,2671933.244,Opendata
科博館,站牌,,,215773.2891,2672248.768,Opendata
忠明國小,站牌,,,215368.041,2672506.027,Opendata
頂何厝,站牌,,,215076.4786,2672706.167,Opendata
市政府,站牌,,,214310.7658,2673142.804,Opendata
新光/遠百,站牌,,,213840.1005,2673428.292,Opendata
秋紅谷,站牌,,,213389.3529,2673746.749,Opendata
福安,站牌,,,211734.1258,2674921.092,Opendata
中港新城,站牌,,,211409.6799,2675097.401,Opendata
澄清醫院,站牌,,,211062.6182,2675285.74,Opendata
玉門路,站牌,,,210409.7312,2675502.515,Opendata
榮總/東海大學,站牌,,,209658.5675,2675343.15,Opendata
東海別墅,站牌,,,208694.6967,2675345.255,Opendata
坪頂,站牌,,,207942.9565,2675684.144,Opendata
正英路,站牌,,,207488.9914,2678291.295,Opendata
弘光科技大學,站牌,,,207396.6116,2679122.222,Opendata
晉江寮,站牌,,,207310.7643,2679588.751,Opendata
靜宜大學,站牌,,,207041.0169,2680065.362,Opendata
臺灣大道北勢路口,站牌,,,206743.5622,2680572.257,Opendata
紅竹巷,站牌,,,206531.0679,2680921.814,Opendata
竹林里,站牌,,,206343.5615,2681246.368,Opendata
犁份,站牌,,,206452.6793,2681895.478,Opendata
臺中國際機場,站牌,,,209281.0958,2683153.755,Opendata
港區藝術中心(鎮政路),站牌,,,205078.6259,2684925.128,Opendata
清水區公所(鎮政路),站牌,,,205332.8974,2684840.039,Opendata
清水國中,站牌,,,205601.6729,2684749.15,Opendata
銀聯二村,站牌,,,205814.0613,2684808.293,Opendata
社口,站牌,,,206164.3895,2684821.601,Opendata
鰲峰西社路口,站牌,,,206346.3971,2684907.427,Opendata
分局前,站牌,,,206881.4504,2684901.357,Opendata
華南銀行(清水分行),站牌,,,206865.4137,2684803.167,Opendata
清水高中(中山路),站牌,,,206768.7382,2684565.008,Opendata
清水火車站(中山路),站牌,,,206606.2434,2684121.271,Opendata
中山星河路口,站牌,,,206481.3274,2683881.872,Opendata
