編號,基準地編號,土地標示,地價(元/m²),面積(m²),形狀及寬深比(m),使用分區或編定用地,建蔽率(%),容積率(%),地上建物門牌,地上建物型態及建物名稱,較去年漲跌(%)
72,D06BA0029,臺南市安南區安東段1197地號,102000,89.05,長方形4.2:21.0,「住一」住宅區,50,120,臺南市安南區安和路一段72號,透天住家用,0.3
73,D06BA0030,臺南市安南區安西段2102-3地號,106000,107.53,長方形4.8:22.3,「住四-1」住宅區,50,180,臺南市安南區北安路二段206號,透天住家用,0
74,D06BA0031,臺南市安南區和館段44-822地號,78000,122.48,長方形5.0:24.5,「住一-1」住宅區,50,135,臺南市安南區長和路一段358號,透天酷柏德式廚房,1.98
75,D06BA0032,臺南市安南區國安段1505-2地號,113000,132.59,長方形6.0:22.1,「住四-1」住宅區,50,180,臺南市安南區宜居路592號,透天住家用,0
76,D06BA0033,臺南市安南區安中段499-29地號,108000,102.23,長方形4.9:20.9,「住四-2」住宅區,60,200,臺南市安南區安中路一段801號,透天家味自助餐,0.28
77,D06BA0034,臺南市安南區城中段170地號,59000,118.08,長方形4.5:26.0,低密度住宅區,60,180,臺南市安南區安中路六段645號,透天泉聖便當,0
78,D06BB0009,臺南市安南區十字段849地號,97700,74.71,梯形4.4:16.9,「商10」商業區,80,300,臺南市安南區海佃路三段30號,透天住家用,2.54
79,D06BB0035,臺南市安南區海佃段137地號,127000,3026.43,長方形35.7:84.7,商業區,60,180,臺南市安南區海佃路一段329號,透天鋼造鐵皮屋(湯姆熊，燦坤),0.24
80,D06BD0006,臺南市安南區科工段31地號、科工段32地號、科工段33地號,24300,42213.05,長方形173.3:244.9,「工15(科)」乙種工業區,60,240,臺南市安南區本田路二段500號,透天可成科技,0
81,D06BD0010,臺南市安南區和工段773地號,57200,361.32,長方形10.0:36.1,「工乙5」工業區,70,210,臺南市安南區開安三街22號,透天美成工藝社,0.53
82,D06BD0028,臺南市安南區布袋段1227地號,54800,871.33,長方形19.4:44.9,「工13」工業區,70,210,臺南市安南區工明二路51號,透天德源鑫機械,0.56
