編號,基準地編號,土地標示,地價(元/m²),面積(m²),形狀及寬深比(m),使用分區或編定用地,建蔽率(%),容積率(%),地上建物門牌,地上建物型態及建物名稱,較去年漲跌(%),
135,D13BB0001,臺南市後壁區頭前段444地號,39000,77.16,長方形4.2:18.4,,商業區,80,240,臺南市後壁區後壁里後壁131之7號,透天自助餐,73.39
136,D13BD0004,臺南市後壁區下茄苳段2449-8地號,13200,662,長方形23.2:28.5,,甲種工業區,60,210,臺南市後壁區後壁42之18號,透天廠房,
137,D13BF0003,臺南市後壁區下茄苳段1887-17地號,9500,141,梯形6.2:22.8,,農業區,0,0,,素地,
138,D14BA0003,臺南市東山區東中段998地號,20600,87.84,長方形4.6:19.1,,住宅區,60,200,臺南市東山區東仁街80號,透天住家用,79.47
139,D14BA0004,臺南市東山區東正段537地號,22700,88.24,長方形4.4:20.0,,住宅區,60,200,臺南市東山區東山里118之3號,透天透天厝住家用,
140,D14BB0001,臺南市東山區東中段219地號,51400,83.74,長方形4.3:19.5,,商業區,80,320,臺南市東山區達雲路一段15號,透天早安美芝城,46.55
141,D14BD0005,臺南市東山區東安段264地號,8100,2007.5,長方形25.4:79.0,,乙種工業區,70,210,,素地,
142,D14BF0006,臺南市東山區東山段2433地號,1900,2300,長方形23.0:100.0,,農業區,0,0,,素地,
143,D15BA0004,臺南市麻豆區中興段478地號、中興段479地號,76800,142,長方形5.2:27.7,,住宅區,60,200,臺南市麻豆區中興里興國路40之5號,透天柏榮牙醫診所,43.5
144,D15BA0005,臺南市麻豆區保安段352-3地號,84100,94.34,長方形5.1:17.3,,「住三」住宅區,60,180,臺南市麻豆區大埕里忠孝路23之25號,透天清原芋圓,
145,D15BB0001,臺南市麻豆區保安段750地號,121000,90.92,長方形4.2:21.6,,商業區,80,300,臺南市麻豆區興中路56號,透天邦妮服飾店,2.82
146,D15BD0006,臺南市麻豆區麻工段213地號,35700,702.12,長方形26.2:26.1,,乙種工業區,70,270,臺南市麻豆區(未登記建物),素地倉庫(晉宇寢具有限公司),
147,D15BF0007,臺南市麻豆區五王段874-1地號,12300,787.64,梯形28.0:28.3,,農業區,0,0,,素地,
148,D16BA0001,臺南市下營區營平段436-3地號,34500,108.98,長方形4.8:22.6,,住宅區,60,200,臺南市下營區營前里中正南路87號,透天住家用,2.7
149,D16BA0003,臺南市下營區營中段909地號,55700,79.86,長方形4.8:16.6,,住宅區,60,200,臺南市下營區仁里村17鄰下營137之3號,透天住家用,
150,D16BB0002,臺南市下營區營中段699地號,76500,91.14,長方形5.7:16.4,,商業區,80,320,臺南市下營區中山路一段11號,透天羊肉羹小吃店,10.48
151,D16BD0004,臺南市下營區下營段2270地號、下營段2270-1地號,15900,2376,長方形23.9:98.2,,乙種工業區,70,210,臺南市下營區公園路145號,透天威舜股份有限公司,
153,D16BF0005,臺南市下營區十六甲段950地號,3600,1929,長方形24.2:81.7,,農業區,0,0,,素地,
154,D17BA0002,臺南市六甲區光明段822地號,40800,77.41,長方形4.3:18.2,,住宅區,60,180,臺南市六甲區中山路229號,透天住家用,17.39
155,D17BA0003,臺南市六甲區民權段131地號,78700,80.4,長方形4.7:17.1,,住宅區,60,180,臺南市六甲區中山路13號(未登記),透天詠彩影印(未登記),
156,D17BB0001,臺南市六甲區民生段888地號,54100,69.24,長方形4.1:16.9,,商業區,80,240,臺南市六甲區中正路426號,透天早安美芝城,5.92
157,D17BB0004,臺南市六甲區民族段454地號、民族段455地號,78700,90.51,長方形4.1:22.1,,「商(附二)」商業區,80,240,臺南市六甲區復興街108號,透天瑪吉咖啡好茶,
158,D17BD0005,臺南市六甲區七甲段58-11地號,17800,1170,長方形27.2:41.5,,乙種工業區,60,210,,素地,
159,D17BF0006,臺南市六甲區二甲段194地號,4000,1618,長方形38.9:41.4,,農業區,0,0,,素地,
160,D18BA0002,臺南市官田區隆田段916地號,42000,80.69,長方形4.5:18.0,,住宅區,60,180,臺南市官田區隆田里13鄰勝利路81號,透天住家用,51.91
161,D18BB0001,臺南市官田區隆田段605地號、隆田段606地號,47800,123.93,長方形4.6:28.0,,商業區,80,260,臺南市官田區隆田里文化街38號,透天住家用,68.98
163,D18BB0003,臺南市官田區隆田段315地號,55100,74.18,長方形4.2:18.0,,第二種商業區,80,260,臺南市官田區中山路一段27號,透天住家用,
164,D18BD0004,臺南市官田區二鎮段二鎮小段808地號,22400,1650,長方形30.0:55.0,,甲種工業區,60,210,臺南市官田區實踐路1鄰8號,透天統興食品廠股份有限公司,
165,D18BF0005,臺南市官田區嘉南段27-2地號,4600,692,長方形16.0:43.0,,農業區,0,0,,素地,
166,D19BA0002,臺南市大內區石城段477地號、石城段478地號,18500,72.8,長方形5.6:14.0,,住宅區,60,200,臺南市大內區石仔瀨122之35號,透天住家用,9.86
167,D19BA0003,臺南市大內區公所段916地號,21800,46.75,長方形3.5:13.5,,住宅區,60,200,臺南市大內區內庄98號(未登記),素地住家用,
168,D19BB0001,臺南市大內區公所段646地號,24000,113.79,長方形4.3:27.4,,商業區,80,320,臺南市大內區內庄22之4號,透天東昇五金行,2.99
