編號,基準地編號,土地標示,地價(元/m²),面積(m²),形狀及寬深比(m),使用分區或編定用地,建蔽率(%),容積率(%),地上建物門牌,地上建物型態及建物名稱,較去年漲跌(%)
148,D33BB0002,臺南市歸仁區歸仁北段1130-79地號,111000,101,長方形4.3:23.5,商業區,80,320,臺南市歸仁區中山路一段605號,透天EASY SHOP,3.37
149,D34BA0001,臺南市關廟區民生段199地號,28500,97,長方形4.6:21.0,住宅區,60,200,臺南市關廟區南雄路一段1158號,透天住家用,0.64
150,D34BB0001,臺南市關廟區文衡段278地號、文衡段279地號,48100,126,長方形5.0:25.2,商業區,80,320,臺南市關廟區南雄路二段10號,透天同懋毛巾,1.92
151,D35EB0001,臺南市龍崎區崎頂段1403地號,5300,60,長方形4.0:15.0,乙種建築用地,60,240,臺南市龍崎區新市子328號,透天住家用,-0.57
152,D36BA0001,臺南市玉井區玉中段446地號,32400,63.79,長方形3.6:18.0,住宅區,60,200,臺南市玉井區中正路46號,透天住家用,0.94
153,D36BB0001,臺南市玉井區玉田段231地號,37800,113.93,長方形5.0:21.9,商業區,80,320,臺南市玉井區中正路149號,透天住家用,0.81
154,D37BA0001,臺南市楠西區東勢段496-8地號、東勢段726-6地號,12300,85.69,長方形4.5:16.5,住宅區,60,150,臺南市楠西區東勢路116號,透天住家用,1.49
155,D37BB0001,臺南市楠西區埔尾段555地號,17400,91.36,長方形5.5:16.7,商業區,80,240,臺南市楠西區中正路104號,透天住家用,1.23
156,D38EB0001,臺南市南化區南庄段262地號,13500,57.14,長方形3.9:14.2,乙種建築用地,60,240,臺南市南化區南化里178號（未登記）,素地住家用（未登記）,0.45
157,D39BA0001,臺南市永康區成功段690地號,74100,77.47,長方形4.4:16.9,住宅區,60,200,臺南市永康區忠義街2號,透天美商玫琳凱美容坊,4.7
158,D39BA0003,臺南市永康區鹽東段1269地號,60200,84.03,長方形4.4:19.3,住宅區,60,200,臺南市永康區新行街56號,透天住家用,4.74
159,D39BA0005,臺南市永康區四維段89地號,47200,89.52,長方形5.9:15.1,住宅區,60,200,臺南市永康區八德街368號,透天住家用,2.63
160,D39BA0006,臺南市永康區永信段1325地號,75900,82.04,長方形5.0:16.4,住宅區,60,200,臺南市永康區復國一路446號,透天筒仔米糕,2.45
161,D39BA0007,臺南市永康區橋北段31-6地號,99200,91.21,長方形4.3:21.1,住宅區,60,175,臺南市永康區東橋一路362號,透天住家用,2.5
162,D39BA0008,臺南市永康區蜈蜞潭段2083-3地號,43000,86,長方形4.1:20.5,住宅區,60,200,臺南市永康區龍安街157號,透天住家用,2.16
163,D39BA0011,臺南市永康區北灣段50地號,35400,83.88,長方形4.5:18.6,住宅區,60,200,臺南市永康區文賢街307號,透天住家用,4.46
