"編號","基準地編號","土地標示","地價(元/m²)","面積(m²)","形狀及寬深比(m)","使用分區或編定用地","建蔽率(%)","容積率(%)","地上建物門牌","地上建物型態及建物名稱","較去年漲跌(%)","geometry"
"46","D06BA0003","臺南市安南區新淵段438地號","47500","132.36","長方形5.1:25.95","「住六」住宅區","60","240","臺南市安南區安中路三段210號","透天住家用","0.64","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.17972804923652,23.048126509660857],[120.17967983555882,23.048136809343898],[120.17973670244346,23.048365565144227],[120.1797369329775,23.048366490112734],[120.17978514674473,23.048356188608857],[120.17978491718067,23.048355264548473],[120.17972804923652,23.048126509660857]]]}"
"47","D06BA0004","臺南市安南區安中段265地號","42400","91.39","長方形4.3:21.2","「住四-2」住宅區","60","200","臺南市安南區同安路141號","透天住家用","0.72","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.19051873261827,23.04089785224097],[120.19037275030381,23.041030930555316],[120.19040244021562,23.041058895115064],[120.19054851902274,23.04092599786884],[120.19051873261827,23.04089785224097]]]}"
"48","D06BA0005","臺南市安南區溪墘段974地號","85000","142.44","長方形4.9:29.1","「住一」住宅區","50","120","臺南市安南區海佃路一段196號","透天陳昱成耳鼻喉科診我","0.72","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.19164961609526,23.024906554531658],[120.19164027890548,23.024950844532125],[120.19191028827848,23.02500631369817],[120.19192108874724,23.02496203115196],[120.19164961609526,23.024906554531658]]]}"
"49","D06BA0007","臺南市安南區公塭段1-2地號","18400","169.88","長方形5.6:30.0","「住三」住宅區","60","165","臺南市安南區十二佃路85號","透天住家用","2.87","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.17433370728983,23.068310266068632],[120.1742955299447,23.0683165952815],[120.17427946962162,23.068319265513317],[120.17436467183246,23.0685807229827],[120.17441916796582,23.068572564652214],[120.17433370728983,23.068310266068632]]]}"
"50","D06BA0008","臺南市安南區長安段61地號","26400","89.16","長方形4.3:20.7","「住四」住宅區","60","180","臺南市安南區長和路四段423號","透天住家用","2.83","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.19829493714474,23.06705331677178],[120.19825603346361,23.067063865155866],[120.19831670769439,23.067249649156263],[120.1983555132967,23.06723919146452],[120.19829493714474,23.06705331677178]]]}"
"51","D06BA0012","臺南市安南區頂安段150-5地號","41700","88.69","長方形4.2:21.1","住宅區","60","180","臺南市安南區安中路一段418號","透天住家用","1.47","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.20285021879066,23.038859497468035],[120.2028152686533,23.03887961915049],[120.20286014228884,23.039075485634026],[120.2028942727633,23.039054388175813],[120.20285021879066,23.038859497468035]]]}"
"52","D06BA0013","臺南市安南區天馬段27地號","45400","78.1","長方形5.0:15.6","「住三-1」住宅區","55","165","臺南市安南區安中路四段31號","透天住家用","1.35","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.1729861125549,23.04996348794443],[120.17291387799466,23.050095670855985],[120.17295167533061,23.050121965326948],[120.17302622412991,23.049978326372212],[120.1729861125549,23.04996348794443]]]}"
"53","D06BA0014","臺南市安南區淵東段833地號","32400","120.94","長方形4.5:26.8","「住三-1」住宅區","55","165","臺南市安南區本原街三段159號","透天機械電腦","1.9","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.1755914692025,23.052267965691783],[120.17558523470888,23.052298274066352],[120.17557789442856,23.05233390438907],[120.17557005086502,23.05237206049374],[120.1755411918647,23.05251223658824],[120.17558172063643,23.052522832451537],[120.17563266609947,23.052281003131114],[120.17563387220616,23.052275230203897],[120.1755914692025,23.052267965691783]]]}"
"54","D06BA0016","臺南市安南區海佃段1259地號","49000","96.95","長方形4.8:20.2","「住一」住宅區","50","120","臺南市安南區國安接60號","透天東方美早餐店","2.53","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.19008630498584,23.0225936563309],[120.19004928182203,23.022770308345816],[120.19009583582348,23.022778655600483],[120.19013294707437,23.022602109676193],[120.19008630498584,23.0225936563309]]]}"
"55","D06BA0018","臺南市安南區新淵段34-4地號","53800","86.13","長方形4.6:18.7","「住四」住宅區","60","180","臺南市安南區海佃路三段310號","透天住家用","0","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.17907852581484,23.05285093878211],[120.1790498358237,23.05288335209969],[120.17918994386699,23.052989548480987],[120.17921863287302,23.052957135133024],[120.17907852581484,23.05285093878211]]]}"
"56","D06BA0019","臺南市安南區溪東段102地號","44500","97.88","長方形4.7:21.0","「住一」住宅區","50","120","臺南市安南區北安路二段67號","透天住家用","2.8","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.20464786138739,23.02606435556259],[120.20464205527037,23.02610613573991],[120.20484543225488,23.02612937183541],[120.20485123778109,23.026087681947377],[120.20464786138739,23.02606435556259]]]}"
"57","D06BA0020","臺南市安南區外塭段877-34地號","47200","93","長方形4.2:22.1","「住三-一」住宅區","55","165","臺南市安南區安和路五段254號","透天鳳慈素食","2.63","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.21708583770487,23.067664013786253],[120.21706854279446,23.067698031971844],[120.21726375323172,23.067781402922236],[120.21728064874671,23.067746577254145],[120.21708861018494,23.06766521136428],[120.21708583770487,23.067664013786253]]]}"
"58","D06BA0021","臺南市安南區州南段97地號","47200","89","長方形3.7:24.0","「住三-1」住宅區","55","165","臺南市安南區安和路四段592號","透天電腦彩券行","2.63","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.21880937026484,23.06266287789336],[120.21880834239501,23.062695890396117],[120.21903706487302,23.0627463845425],[120.21904867942177,23.062714659661843],[120.21880937026484,23.06266287789336]]]}"
